@relation tweet
@attribute text string
@attribute country{"Nepal","Angola","Republik der Philippinen","Zambia","Uzbekistan","Suécia","Mongolia","Hungary","Bolivia","Francia","Luxembourg","Eesti","Japon","Україна","Senegal","Belarus'","Seychelles","Greece","Madagascar","Latvia","Somalia","Islamic Republic of Iran","Democratic Republic of Congo","Canadá","République Démocratique Du Congo","Viro","Lebanon","Vatican City","Spagna","Croatie","Regno Unito","Morocco","Republic of Croatia","Alemania","Emirati Arabi Uniti","Estonia","Azerbaijan","Montenegro","新加坡","Uganda","مملكة البحرين","Turks and Caicos Islands","Haiti","ญี่ปุ่น","Nicaragua","Vereinigte Staaten","Switzerland","Royaume du Maroc","Việt Nam","Grecia","Kazakhstan","Spanien","Romania","Germania","Kanada","Vietnam","भारत","Magyarország","Guadeloupe","Norge","Trinidad and Tobago","Hashemite Kingdom of Jordan","Cameroon","Kyrgyzstan","Malta","일본","Polska","Suomi","Bulgaria","Norway","Brunei","ישראל","Namibia","Reino Unido","Libya","Paraguay","Japón","Republic of Mozambique","","Ethiopia","Latvija","Bangladesh","Republic of Belarus","Georgia","لبنان","Martinique","Germany","Antigua and Barbuda","Zimbabwe","Republic of Mauritius","Schweiz","Tunisia","Guatemala","Mexique","Albania","Czech Republic","French Polynesia","Austria","الامارات العربية المتحدة","Svizzera","Algeria","Spanje","Islas Turcas y Caicos","Cuba","Moldova","Panamá","Central African Republic","Hellas","Ελλάς","Япония","Qatar","Curaçao","Ecuador","Poland","Monaco","Liban","Hrvatska","Cayman Islands","New Zealand","Botswana","România","Belgium","Cyprus","Guinea Bissau","Bélgica","دولة الكويت","Peru","Sint Maarten","Kuwait","Panama","Grécia","El Salvador","Republic of Serbia","Danmark","Беларусь","Österreich","Afghanistan","Spain","Espagne","Kenya","Sverige","República de Moçambique","Italy","Lesotho","België","Etats-Unis","Australia","Cambodia","Turkey","Bahrain","Andorra","Ghana","대한민국","Jamaica","Česká republika","Argentina","Украина","Ukraine","Denmark","Republic of Korea","مصر","Israel","Pakistan","Singapore","People's Republic of China","Portugal","المملكة العربية السعودية","France","Costa Rica","Kingdom of Saudi Arabia","Egypt","Republika ng Pilipinas","Mexico","Russia","Nederland","Ireland","Colombia","中华人民共和国","Finland","Thailand","Deutschland","Sweden","Tanzania","South Africa","India","España","United Kingdom","台灣","Italia","Türkiye","Espanya","Taiwan","The Netherlands","香港","Hong Kong","Nigeria","Россия","Malaysia","Dominican Republic","Venezuela","Republic of the Philippines","Estados Unidos","United Arab Emirates","Chile","Brazil","Indonesia","Sri Lanka","Japan","Brasil","México","Canada","ประเทศไทย","日本","United States"}
@data
"I'm at 日暮里図書館 in 荒川区 東京都 https  t co U7gjZwoYyI  東京都荒川区西日暮里  秋葉原の好きな不健康自慢エンジニア(通信 組み込み系)です。 なにか面白いこと無いかな？　 Linux Android iOS RaspberryPi ESP8266 Google Home Amazon Echo Anet A2 クロスバイク ミニベロ  1557127514658  null","日本"
"Just posted a photo @ Zhongli District https  t co 0RysJ7rh6B  New Taipei City Taiwan  Acting as if nothing borne in mind is the best revenge It's all for myself to live better  1557127521665  null","台灣"
"#낮술 #ikea #새 맥주잔 #일일일컷 suwon https  t co Ad7e70re7u  대한민국  It's rainning money     1557127534663  null","대한민국"
"I'm at JR 八丁堀駅  @jreast_official in Chūō 東京都 https  t co 6uAekB2Mfs  東京  昔は、みんみんと呼ばれてた 女サカスタジアムに出没する 専属を解雇された役立たずカメラマン 湯郷Belle オレンジ アンコズ・キャミ・みんみん・凜・あんゆか・日菜乃・由佳・ポニテ・ちょんちょこりん・ふうか・チビタンク愛好会副会長？・147cm・157cm好きなアラフォーのおっさん  1557127537666  null","日本"
"Alhamdulillah bisa bertemu kembali dengan Ramadhan bulan penuh berkah dan ampunan  Apa sih yang paling ngangenin… https  t co RjahFNSAV8  Bandung Indonesia  NOT A COMPETITIOM WIRE • Designed by Indonesian🇮🇩 • #flavorchaser wire with #ECOfriendly packaging • +62 818 14 0818  1557127582658  null","Indonesia"
"เพิ่งโพสต์รูปภาพ @ Malaysia https  t co E8wJPmrPU1  Bangkok Thailand  🇹🇭ความจริงใจคือจุดเริ่มต้นของมิตรภาพที่ยั่งยืน 🇯🇵誠実さは永続的な友情の始まりです。 🇰🇷성실은 지속적인 우정의 시작입니다 👉If you are sincere I poured my heart  1557127714659  null","Malaysia"
"きっとGWの渋滞は こんな感じなんだろう、、、 パパさん達ご苦労様です😭 Ruttu KaoLa  埼玉県新座市東北2 39 8 永代ビル2F ☎︎048 423 7928 定休日… https  t co cLg1idSUzp  東京都 練馬区  (有)Ruttu 人事部 最悪の事態は伝説の始まり‼︎ 練馬、板橋、志木6店舗 スタッフの9割が地方出身者‼︎技術以上に人柄でいい関係性を創りたい‼︎それがRuttuのブランド❤ Ruttu KaoLa Boss 中途採用募集中組織の⭐️2番手育成講義もします⭐️誰とどんな時間を過ごすかで見える景色と価値観は変わる  1557127895664  null","日本"
"I'm at 小峰城 (城山公園) in 白河市 福島県 https  t co uxJamXigVg https  t co qWUAQoHIlv  静岡県浜松市～掛川市  静岡県西部を中心に車載動画の撮影などをしている34歳♂　背景は新東名です （地名ポスト多めですので…） ※走行中の写真は車両に設置されたボタンよってスマホでリモート撮影したものです。便利(*´∀｀*)  #日本道路好団  1557127902658  null","日本"
"USGS reports a M2 25 #earthquake 13km SSE of Volcano Hawaii on 5 6 19 @ 7 27 35 UTC https  t co KIurpNOl1M #quake  Earth  Tweeting every earthquake occurrence reported by USGS  Built and maintained by David Barkman aka @cybler  1557127922664  null","United States"
"Loved the malt profile but no hop flavour on the finish liked I had hoped  Drinking a Gunslingers APA by… https  t co beLpRBjzI7  null  Named after my three gorgeous daughters who help name most of my beers Freshly hopped ales stouts and bitters Life is really great  1557127924663  null","Australia"
"14 29 #JAKARTA Depan Gedung ANTAM (Jl T B Simatupang) #LANCAR #Elshinta  Indonesia  Info Kemacetan Sekitar Anda  1557127935663  null","Indonesia"
"Har precis lagt upp ett foto @ Örebro Sweden https  t co UTFvukHfDZ  Örebro Sweden  2 barnsfar gift jurist equivalist abolitionist med passion för löpning  1557127936659  null","Sweden"
"⠀ ✨✨✨ В НАЛИЧИИ ✨✨✨ ____________________ На Виктории трикотажное платье футляр от #NocheMio 👍 В комплекте пояс с ка… https  t co Jxnn0KvZGo  Санкт Петербург Россия  null  1557128059661  null","Россия"
"しろくま (@ かき氷 蔦  @urawaivy in さいたま市 埼玉県) https  t co x6KB99hv8o https  t co RJzir34bZe  福島県郡山市  福島県内や自分が気に入ったお店の食べ歩きを呟いて行こうかなと思っています。特にハンバーグスパゲティとかき氷が大好きです。たまに日常も呟くと思います。もっちり庵名主。温泉・鉄道関係・地元アイドルも興味あります。呼ぶ時は「久保さん」で大丈夫です。instagram→@ku_isi_bo  1557128113659  null","日本"
"Diskusi dengan Hendra (@ WeWork Menara Astra in Jakarta) https  t co o3q73xR0G6  ÜT  6 1713487 106 7716854  Total Wellness the Holistic Way™  1557128126662  null","Indonesia"
"Hawaiʻi County Hawaii United States of America (Middle Hawai'ian Islands territorial waters) MD 2 2 (8 min ago) 2… https  t co zWmv7VmnjQ  null  Last Earthquakes of the World  1557128183664  null","United States"
"I'm at ポケモンセンターキョウト in 京都市 京都府 https  t co AfY0zSYQbA  null  OGU 経済 3回 Ninja250R Ver 🐝 ハリネズミ  1557128187660  null","Japan"
"I'm at 京成船橋駅  @keiseirailway in 船橋市 千葉県 https  t co bwB0yYydX8  島根 松江市  某地方信販会社の東京支店勤務 #キャッシュレス王国山陰 島大法文卒 元コンビニ店員 キャッシュレス主義 クレカ 電子マネー ポイント マイレージ 旅行など  1557128211662  null","日本"
"Terima kasih dear grab hannan cosmetics skincare di @hannanmedispaSA 😍😍   Jom datang serbu utk dapatkan promo di… https  t co GvF3AAcpA9  Shah alam 🇲🇾  For more details 👉🏼 Wsap  016 4447445  1557128216660  null","Malaysia"
"I'm at 鳥居原ふれあいの館 in 相模原市 神奈川県 w @sewerrider25 https  t co qzLFjTCCRB https  t co oPJ3FdtcwH  null  『峠は徐行』 今はFTRってゆうバイク  1557128237665  null","日本"
"ออกมาหา Passion ด้วยขนมปัง 2 แผ่น และ กาแฟ 1 แก้ว 🥤🍰😋🥰 #แบรนด์คุนนาย… https  t co spfPvlhGJW  null  null  1557128267665  null","Thailand"
"I'm at Don Mueang International Airport in Don Mueang Bangkok https  t co i0637iZZpF  null  null  1557128336662  null","Thailand"
"This job is now open at Deloitte in #hyderabad Telangana Follow us and turn on mobile alerts to hear about jobs l… https  t co NgTmi7gREe  Hyderabad  Follow this account for geo targeted Business Mgmt job tweets in Hyderabad Need help Tweet us at @CareerArc  1557128367659  null","India"
"Только что опубликовано фото @ Universal CityWalk Hollywood https  t co lmad1w4wrt  Los Angeles CA  null  1557128436658  null","United States"
"駐車してたらエリーゼがいた！ (@ 市営浦和駅東口駐車場 in さいたま市 埼玉県) https  t co m5K3ZUysgr  Tokyo  社会人3年目のデザイナー。ガジェットショット(@gadget_shot)の中の人。写真撮ったり動画作ったり。🚗所有車：エリーゼ ジュリエッタQV 📷カメラ：α7III α6000 Instagram kir1ca  1557128490664  null","日本"
"Ironman  Minat sgt sampai buat satu suit ni  #ironman #ironmanedit #ironman2017 #ironmantattoo #ironman3… https  t co 1TVo5hOfv8  Pasir Puteh Kelantan  nothing interesting about me 🙇  1557128524663  null","United States"
"Ah samcreer19 this is the best #slowmo  #bouquetthrow #weddingday #bestdayever @ High House Weddings https  t co GfOAzEZv0Y  Stratford London  Operations & Events Manager at the @WSTAuk  my favourite job And if i'm not at work i'm in the gym ✨  or eating  or sleeping  1557128562658  null","United Kingdom"
"I'm at Twin Towers https  t co RfpWedZaTj  Kuwait مواليد الثمانينات  Love for others what you love for yourself  Manchester United #MUFC  Instgram  @adel a 88 مناشب الكل  1557128683657  null","Kuwait"
"#slowlybutsurely @ Sano Bharyang Swoyambhu Kathmandu https  t co E1RwJcSaKV  null  null  1557128683659  null","Nepal"
"pat8sake good to see you ka3💙 @ Emquartier  เอ็มควอเทียร์ https  t co 2zd6OLK8rx  Oklahoma America  Love  1557128696662  null","Thailand"
"#Classical Boston Pops at #BostonSymphonyHall See Details https  t co sWRrJReZ6N https  t co 2hXYIJDbyB  Boston MA  Theatre Opera Jazz Pop Dance Talks Sports and more   1557128708666  null","United States"
"Nuestra pequeña participación en el VII Rallye Interprovincial de Campanario ayudando a nuestros grandes amigos de… https  t co wMQJyFBYTu  Villafranca de los Barros  Bienvenidos a Crispula Racing Team un grupo de amigos aficionados al motor creado en el año 2014 Miembros del grupo ‘Extremadura Motor Fest’  1557128783659  null","Spain"
"Girona cycle day 2 100k along the stunning Costa Brava to picture perfect Tossa de Mar Man Vs Machine dips US i… https  t co pvWbUECqk2  Dublin City Ireland  People's instinctive travels and the paths of rhythm  GlobeTrotter & embracer of foreign language & culture Teeling Whiskey #spiritofdublin  1557128805665  null","Spain"
"Main House Two Rooms and Two Shops #ForRent #2Bedroom #IndependentHouse #Bejai #Mangalore #Residential #Property https  t co 4BTK2yyiOf  India  India's Premium Real Estate Network  1557128826662  null","India"
"I'm at 高崎モントレー in 高崎市 群馬県 https  t co WKXezHi9yM  東京とか神奈川  まついたかしです。群馬県出身（幼少期は静岡県）、東京都在住。趣味は音楽鑑賞と電車、特技は形態模写。ツイートは集中します。宜しくお願いします。サブアカは@shoseisu2です。ザラメンバー117号。バナナネームはふかやだよバナナ。  1557128832663  null","日本"
"Kinkaku ji ~ Temple of the Golden Pavilion 😍 it’s official name is Rokuon ji which means the Deer Golden Temple ☺️… https  t co rKSpOcSZsk  Kuwait  A British  Kuwaiti   Who loves to travel ✈️ i want to create memories all over the world 🌍 Instagram  @iBritsy  1557128910660  null","Japan"
"The English Breakfast is excellent (at @ThePetersham Hotel in Richmond Greater London) https  t co mi270ZmHbt  ÜT 33 801982 118 013219  Author Profitable Social Media Check it out on Kindle TeleSeminars Host and Coach Certified HypnoCoach CoFounder of http  TeleSeminarNation com  1557128946662  null","United Kingdom"
"16 50 13 198 2 55 115 47223 &gt &gt  445 (TCP SYN)  null  SERVER NOTIFICATIONS  1557129013665  null","United States"
"河東(かとう)郡 (@ 上士幌町 in 北海道) https  t co vICyA7F0OO  インデアンカレー徒歩10分  15年式BP5specBにTY85を仕込んでます #週間レガシィを作ろう #せいやメモ #手動ダジャレbot #チリガバレーシング卍  1557129021661  null","日本"
"帰ります (@ 岩槻駅 in さいたま市 埼玉県) https  t co Cj1HdxZ1fQ https  t co thpqNdMsPx  null  JAPANESE born in Yamagata raised in Saitama working in Aichi pref east Big fan for Tokyo Giants  and railfan😎 山形生まれ埼玉育ち愛知県で働いてます。アメリカ暮らしも約７年経験 巨人ファン、乗り鉄  1557129037659  null","日本"
"#chat #perdu à LACHELLE 60190 (FR) https  t co CLVyFJkPKg https  t co 43CdzXYhqO  null  null  1557129042666  null","France"
"今度は戸越へ向かうべく、バスで泉岳寺方面へ。 (@ 麻布十番駅前(一ノ橋)バス停 in 港区 東京都) https  t co fSUfi1EVEf  東京 練馬区  instagram：khiroki_info 都内のIT企業でWebプログラマとして勤務。週末はたまに世田谷233へ出没。233写真部に参加。 リツイート多め。かつ思った事はガンガン書く場合あり。他のSNSの場合と異なり、喜怒哀楽が混ざったり玉石混交な点は何卒ご了承いただきたい。  1557129053664  null","日本"
"So much hair   #takingweightoffmyshoulders @ Bless Hair Salon https  t co CEk8ackMw2  Noodlelandia Malaysia  Hi I'm Miii I love noodles I love music I love money I like singing  1557129074658  null","Malaysia"
"Hace unos años daba un billete de cien pesos para dar la dirección de la casa de la familia Algunos de ellos deben… https  t co FtH62Tppyf  Barcelona  Ego serviamus vestra Trapped & Stripped  1557129078657  null","Colombia"
"Ramadhan kareem to all ma special nunuz nahya_glam_ princeomarug wisewish carls ranny_must_be_viral stardivaquot… https  t co ew48l2XAtT  Kampala Uganda  I am a Spic n span person Above all am proud to me God first n others follow  I blv nothing is impossible  the word itself is I'm possible Bless  1557129125659  null","Uganda"
"Gün😊ydın herkese hayırlı Ramazanlar oruç tutanlara kolaylıklar olsun 🙏🏻🙏🏻 blogda geçtiğimiz ayın #alışveriş listesi… https  t co 3H59C6zuSP  istanbul  instagram @audreyyblog  1557129145659  null","Türkiye"
"DEIXA A TUA LUZ BRILHAR  SE INSCREVA NO CANAL PARA NÃO PERDER NENHUMA NOVIDADE 🎥YouTube Elizandra Santos Coach… https  t co VUr4Ddyeoz  Brazil  WebBusiness  Alemanha  Angola  Áustria  Brasil  Espanha  Itália  Suécia  Suiça  Estados Unidos  Zimbabwe  África do Sul  Namíbia  Congo Democrático  1557129181658  null","Angola"
"880 watts https  t co iKjyunKJet  Oxford  Real Time Solar updates from Oxford See the sky and how much energy it is generating Made by @edent See @edent_solar for more  )  1557129187660  null","United Kingdom"
"@nofaceshadowmen doin wat we do best     @ Downtown San Bernardino https  t co 6b04kFUr5k  Pomona CA  SUPAGAZZENT PRODUCER MUSICIAN AND need a dj AND OR BEATZ book now 9093297104 or CHECK OUT MY BEATS IN BOI  1557129240658  null","United States"
"金目鯛そば、うまかった！ (@ 玉 赤備  @tsukemen_gyoku in 川崎市 神奈川県) https  t co YPkXM9ds4S https  t co upbonSvkOg  null  ゆうぜんとうや 米澤円ファンの基本、声優ヲタです。 アニメやアニソンなどを呟きます。基本毒舌系です。 2014 8 6 米澤円さん、ファーストCD 『 さえずり cの夢、彩とり鳥のセカイ 』発売中です。 2017 08 30結婚おめでとうございます。 2018 10 30 CR Z購入  1557129254664  null","日本"
"しゃーせー (@ マンガ倉庫アキバメディア館  @akikan_kancho in 大川市 福岡県) https  t co xSmmWf4nxO  反田家⇔黒犬寮  聖と書いてマサと読みます ｽﾍﾟｰｼｱｶｽﾀﾑMK32s HARUKAZE ゆずソフト SAGA PLANETS 遥そら 小鳥居夕花 桐谷華 fripSide 新田美波 立花理香 寄宿学校のジュリエット 駒井蓮季 鳶一折紙 MDD  1557129306666  null","日本"
"Up till 4am doing cable organization Gonna vacuum the floor when I wake up (@ Swaying Hill Studios in Baltimore M… https  t co Ff4eNr5lSA  Maryland USA  INFP| Ambiverted music loving sometimes Derpy Ranting Red Pando thats a pro freelance drummer for acts like @foxesandpeppers & @exit_mouse icon by @darkzerojack  1557129328657  null","United States"
"I'm at AIRSOFT97 秋葉原店  @dualwielding in 台東区 https  t co NFT1NyCXQT  GH S8NFS  和名：ガクセイリケイモドキ🤓 自動車、ミリタリーが好きなやつです。 大学生（21歳児）になりました。 フラ車乗りイキり大学生としてコソコソしています。  1557129377666  null","日本"
"晩ご飯を食べに。 (@ 橙幻郷  @tgk_maid in 千代田区 東京都) https  t co pbYPAUPTp7  埼玉県川口市  まったりうっかり生きてるアンポコタン。時々カメラやパソコンやiPhoneやMacや自転車やF1や映画や洋ドラやアニメやアイドル等のつぶやきが混じる時があります、ご注意を。ひっそりと鞘師里保とモーニング娘。'19と橙幻郷のあいちゃんが好き。ソフトダーツはじめました。( ⚯̫ )✧  1557129402657  null","日本"
"current weather in Mashhad few clouds 27°C 34% humidity wind 2kmh pressure 1019mb  Mashhad Iran  Weather updates forecast warnings and information for Mashhad Iran Sources http  OpenWeatherMap org USGS  1557129405658  null","Islamic Republic of Iran"
"I'm at 乃木神社 in 港区 東京都 https  t co zetE9SJsNx  愛知県  くるまとひなぴよとあすかちゃんが大好きです。 #STU48 #岩田陽菜 #乃木坂46 #齋藤飛鳥  1557129492657  null","日本"
"ชั้นมาทำอะไรที่นี่ 👻🔴 #oldtrafford #manchesterunited #เธอนั้นเทียวจงท่องเที่ยวไป #ศรีจะไปท่องโลก @ Old Trafford https  t co NvqbcksVTZ  null  The Cityzens 💙 #SharkTeam #Futurista \7  1557129501660  null","United Kingdom"
"ここにはまだたっぷり雪が残ってます (@ 万座温泉 in 嬬恋村 群馬県) https  t co UVqFhGHAVU https  t co KAdYJBU1Ug  長野県長野市  立教大文学部卒。長野県長野市の広告代理店に勤務。イベントやプロモーションのプランナーをやってます。Mac歴は29年目に突入（MBP、MBA、iMac、iPhone 6S & iPad Pro使用中）。 BABYMETAL東京ドーム2daysもちろん参戦DEATH！  1557129505666  null","日本"
"Enjoying mother nature   Keeps me motivated and helps me to think  @ Gilgil Kenya https  t co 2GnBaDwhqT  Nairobi Kenya  Kindhearted strong willing lady  Favoured by God 24 7 Friend  1557129595662  null","Kenya"
"Try something new this week #happynewweek #momdaymotivation #sandsatnomad #beachlife #lifeisabeach @ The Sands At N… https  t co b1zFAlC0pF  Lagos Nigeria  Laura with the badass Aura Tv Presenter #culturereport on POP Central tv Dstv 189 Event Host MC  1557129759666  null","Kenya"
"Monday Mood   #CurrentMood #ManicMonday @ Sailboat Bend Fort Lauderdale https  t co 0OSXEfLhEJ  null  Gimme Haunted Houses spooky forests Irish Bars whips n chains 👻💀👻 #Sadist #Sagittarius #ChaoticNeutral #Gothic #EclecticWitch #FemDom  1557129763659  null","United States"
"When Kale is life and you can no longer even #bunniesofinstagram @ Outwood Wakefield https  t co NMPabG9n15  null  dream the impossible  1557129796659  null","United Kingdom"
"Neden olmasın güzel bir hafta  #sendromsuzpazartesi #picoftheday #nofilter #gununfotografi #aniyakala #landscape… https  t co jROXbRSE8L  İzmir Türkiye  Zengin kayınpeder arıyorum Kedi babası At sevdalısı ben buraya saçmalamaya geldim lütfen eleştirmeyin  http  instagram com beyazprensliiat  1557129814666  null","Türkiye"
"【降灰予報（定時）】17 00 ［諏訪之瀬島］ 現在、噴火警戒レベル2(火口周辺規制)です。噴火が発生した場合には、6日21時から24時までは火口から南方向、7日09時から12時までは火口から南方向に降灰が予想されます。… https  t co xKfonY2t8W  Japan 日本  公式に二次利用が認められている気象庁防災情報XML https  bit ly 197isYy の #地震 #津波 #火山 #台風 関連情報を中心に配信しています。 サーバその他の都合で正常にツイートできないこと、予告なく運用を停止することもあるかも知れません。ご了承ください。★管理者 @rsm_mzk  1557129845661  null","日本"
"New arrivals 💃💃💃💃💃💃 Ladies Trendy Attires Price N8 000 Size 12  16 To place Order Please Send a DM or Call Wha… https  t co 1iD9lJsRDl  Lagos  Cool liberal disciplined fun loving blunt caring creative fun to be with&Lovable person Check us on Instagram @teebuz_accessories  1557129863666  null","Nigeria"
"( 2019  126th day ) happy Monday with these head turning prints • • • #vsco #vscocam #vscogrid #tingtingneverstop… https  t co 2qM0bbFzKV  Cagliari  La petite reveuse  1557129915665  null","Italy"
"Hello its a new week and i'm fully ready to take your order   Have a beautiful week 🌟🌟 ___________________ To or… https  t co pKIWymTK0J  Lagos Nigeria  ♛𝐒𝐇𝐎𝐏𝐏𝐈𝐍𝐆 𝐈𝐒 𝐌𝐘 𝐓𝐇𝐄𝐑𝐀𝐏𝐘😉  ★𝐓𝐨 𝐨𝐫𝐝𝐞𝐫 𝐬𝐞𝐞 𝐥𝐢𝐧𝐤 𝐛𝐞𝐥𝐨𝐰 ↷ ⌛https  t co 97Xbs5X8Vm ⌛https  t co oRGTvdtFa3 ＠𝐞𝐮𝐩𝐡𝐨𝐫𝐢𝐚𝐟𝐚𝐬𝐡𝐢𝐨𝐧 (𝐊𝐨𝐧𝐠𝐚 𝐉𝐮𝐦𝐢𝐚)  1557129940660  null","Nigeria"
"ROAH 060730Z 09006KT 040V140 9999 FEW035 BKN130 25 16 Q1010 RMK 2CU035 6AC130 A2985  那覇空港  Naha Airport  1557129964660  null","日本"
"TEST_LAT LON cb6f82a0 0905 48d2 86a5 8f69be40645c  null  null  1557129993666  null","United States"
"なんか買うぞ！ (@ じゃんぱら 福岡筑紫通り店  @janpara_jfk in Fukuoka 福岡県) https  t co K9IvNMp3AI  福岡  コンコルド効果  1557130005662  null","日本"
"💦ИОРДАНИЯ💦 с вылетом из Москвы от 30000 руб на чел 28 мая на 8 дней питание все включено отели на выбор 🌻BEAU R… https  t co IE1IlY9yyd  Kazan Russia  Лучшие путешествия из Казани пляжи море горные лыжи сафари круизы серфинг лечение за границей и многое другое Тел 29 29 009  1557130032661  null","Россия"
"I'm at 國立臺灣大學社會科學院 in 台北市 https  t co 7iecqDlpDs  Taipei Taiwan  着ぐるみ専用垢・高坂穂乃果・高海千歌・ロリータ・中文 日本語 English・時々変な日本語を使って、誠に申し訳御座いません。🙇‍♀️💦  1557130074662  null","台灣"
"Отличная погода и такое же настроение Всем улыбок) @ Novosibirsk Russia https  t co gGC26jjh6b  НСК  Ведущий эфира радио RECORD Новосибирск шоумен организатор автор шоу FUNшиза ведущий мероприятий  Моя работа начинается там где кончается ваша   1557130292663  null","Россия"
